cp	hex	char	utf8_bytes	o200k_base_n	o200k_base_ids	o200k_base_rt	o200k_base_bucket	o200k_harmony_n	o200k_harmony_ids	o200k_harmony_rt	o200k_harmony_bucket	cl100k_base_n	cl100k_base_ids	cl100k_base_rt	cl100k_base_bucket	r50k_base_n	r50k_base_ids	r50k_base_rt	r50k_base_bucket	llama32_n	llama32_ids	llama32_rt	llama32_bucket	claude_xenova_n	claude_xenova_ids	claude_xenova_rt	claude_xenova_bucket
32321	U+7E41	繁	3	1	103441	yes	single-token	1	103441	yes	single-token	3	163,117,223	yes	byte-ish	3	163,117,223	yes	byte-ish	2	128000,118095	yes	byte-ish	2	50512,228	yes	byte-ish
32322	U+7E42	繂	3	2	57872,224	yes	byte-ish	2	57872,224	yes	byte-ish	3	163,117,224	yes	byte-ish	3	163,117,224	yes	byte-ish	3	128000,103721,224	yes	byte-ish	2	50512,229	yes	byte-ish
32323	U+7E43	繃	3	2	57872,225	yes	byte-ish	2	57872,225	yes	byte-ish	3	163,117,225	yes	byte-ish	3	163,117,225	yes	byte-ish	3	128000,103721,225	yes	byte-ish	2	50512,230	yes	byte-ish
32324	U+7E44	繄	3	2	163,9417	yes	byte-ish	2	163,9417	yes	byte-ish	2	163,47382	yes	byte-ish	3	163,117,226	yes	byte-ish	3	128000,163,47382	yes	byte-ish	2	50512,231	yes	byte-ish
32325	U+7E45	繅	3	2	57872,227	yes	byte-ish	2	57872,227	yes	byte-ish	3	163,117,227	yes	byte-ish	3	163,117,227	yes	byte-ish	3	128000,103721,227	yes	byte-ish	2	50512,232	yes	byte-ish
32326	U+7E46	繆	3	2	57872,228	yes	byte-ish	2	57872,228	yes	byte-ish	3	163,117,228	yes	byte-ish	3	163,117,228	yes	byte-ish	3	128000,103721,228	yes	byte-ish	2	50512,233	yes	byte-ish
32327	U+7E47	繇	3	2	57872,229	yes	byte-ish	2	57872,229	yes	byte-ish	3	163,117,229	yes	byte-ish	3	163,117,229	yes	byte-ish	3	128000,103721,229	yes	byte-ish	2	50512,234	yes	byte-ish
32328	U+7E48	繈	3	2	57872,230	yes	byte-ish	2	57872,230	yes	byte-ish	3	163,117,230	yes	byte-ish	3	163,117,230	yes	byte-ish	3	128000,103721,230	yes	byte-ish	2	50512,235	yes	byte-ish
32329	U+7E49	繉	3	2	57872,231	yes	byte-ish	2	57872,231	yes	byte-ish	3	163,117,231	yes	byte-ish	3	163,117,231	yes	byte-ish	3	128000,103721,231	yes	byte-ish	2	50512,236	yes	byte-ish
32330	U+7E4A	繊	3	2	57872,232	yes	byte-ish	2	57872,232	yes	byte-ish	3	163,117,232	yes	byte-ish	3	163,117,232	yes	byte-ish	3	128000,103721,232	yes	byte-ish	2	50512,237	yes	byte-ish
32331	U+7E4B	繋	3	2	57872,233	yes	byte-ish	2	57872,233	yes	byte-ish	3	163,117,233	yes	byte-ish	3	163,117,233	yes	byte-ish	3	128000,103721,233	yes	byte-ish	2	50512,238	yes	byte-ish
32332	U+7E4C	繌	3	2	57872,234	yes	byte-ish	2	57872,234	yes	byte-ish	3	163,117,234	yes	byte-ish	3	163,117,234	yes	byte-ish	3	128000,103721,234	yes	byte-ish	2	50512,239	yes	byte-ish
32333	U+7E4D	繍	3	2	57872,235	yes	byte-ish	2	57872,235	yes	byte-ish	3	163,117,235	yes	byte-ish	3	163,117,235	yes	byte-ish	3	128000,103721,235	yes	byte-ish	2	50512,240	yes	byte-ish
32334	U+7E4E	繎	3	2	57872,236	yes	byte-ish	2	57872,236	yes	byte-ish	3	163,117,236	yes	byte-ish	3	163,117,236	yes	byte-ish	3	128000,103721,236	yes	byte-ish	2	50512,241	yes	byte-ish
32335	U+7E4F	繏	3	2	57872,237	yes	byte-ish	2	57872,237	yes	byte-ish	3	163,117,237	yes	byte-ish	3	163,117,237	yes	byte-ish	3	128000,103721,237	yes	byte-ish	2	50512,242	yes	byte-ish
32336	U+7E50	繐	3	2	57872,238	yes	byte-ish	2	57872,238	yes	byte-ish	3	163,117,238	yes	byte-ish	3	163,117,238	yes	byte-ish	3	128000,103721,238	yes	byte-ish	2	50512,243	yes	byte-ish
32337	U+7E51	繑	3	2	57872,239	yes	byte-ish	2	57872,239	yes	byte-ish	3	163,117,239	yes	byte-ish	3	163,117,239	yes	byte-ish	3	128000,103721,239	yes	byte-ish	2	50512,244	yes	byte-ish
32338	U+7E52	繒	3	2	57872,240	yes	byte-ish	2	57872,240	yes	byte-ish	3	163,117,240	yes	byte-ish	3	163,117,240	yes	byte-ish	3	128000,103721,240	yes	byte-ish	2	50512,245	yes	byte-ish
32339	U+7E53	繓	3	2	57872,241	yes	byte-ish	2	57872,241	yes	byte-ish	3	163,117,241	yes	byte-ish	3	163,117,241	yes	byte-ish	3	128000,103721,241	yes	byte-ish	2	50512,246	yes	byte-ish
32340	U+7E54	織	3	2	57872,242	yes	byte-ish	2	57872,242	yes	byte-ish	3	163,117,242	yes	byte-ish	3	163,117,242	yes	byte-ish	2	128000,111887	yes	byte-ish	2	50512,247	yes	byte-ish
32341	U+7E55	繕	3	2	57872,243	yes	byte-ish	2	57872,243	yes	byte-ish	3	163,117,243	yes	byte-ish	3	163,117,243	yes	byte-ish	3	128000,103721,243	yes	byte-ish	2	50512,248	yes	byte-ish
32342	U+7E56	繖	3	2	57872,244	yes	byte-ish	2	57872,244	yes	byte-ish	3	163,117,244	yes	byte-ish	3	163,117,244	yes	byte-ish	3	128000,103721,244	yes	byte-ish	2	50512,249	yes	byte-ish
32343	U+7E57	繗	3	2	57872,245	yes	byte-ish	2	57872,245	yes	byte-ish	3	163,117,245	yes	byte-ish	3	163,117,245	yes	byte-ish	3	128000,103721,245	yes	byte-ish	2	50512,250	yes	byte-ish
32344	U+7E58	繘	3	2	57872,246	yes	byte-ish	2	57872,246	yes	byte-ish	3	163,117,246	yes	byte-ish	3	163,117,246	yes	byte-ish	3	128000,103721,246	yes	byte-ish	2	50512,251	yes	byte-ish
32345	U+7E59	繙	3	2	57872,247	yes	byte-ish	2	57872,247	yes	byte-ish	3	163,117,247	yes	byte-ish	3	163,117,247	yes	byte-ish	3	128000,103721,247	yes	byte-ish	2	50512,252	yes	byte-ish
32346	U+7E5A	繚	3	2	57872,248	yes	byte-ish	2	57872,248	yes	byte-ish	3	163,117,248	yes	byte-ish	3	163,117,248	yes	byte-ish	3	128000,103721,248	yes	byte-ish	2	50512,253	yes	byte-ish
32347	U+7E5B	繛	3	2	57872,249	yes	byte-ish	2	57872,249	yes	byte-ish	3	163,117,249	yes	byte-ish	3	163,117,249	yes	byte-ish	3	128000,103721,249	yes	byte-ish	2	50512,254	yes	byte-ish
32348	U+7E5C	繜	3	2	57872,250	yes	byte-ish	2	57872,250	yes	byte-ish	3	163,117,250	yes	byte-ish	3	163,117,250	yes	byte-ish	3	128000,103721,250	yes	byte-ish	2	50512,255	yes	byte-ish
32349	U+7E5D	繝	3	2	57872,251	yes	byte-ish	2	57872,251	yes	byte-ish	3	163,117,251	yes	byte-ish	3	163,117,251	yes	byte-ish	3	128000,103721,251	yes	byte-ish	2	50512,256	yes	byte-ish
32350	U+7E5E	繞	3	2	57872,252	yes	byte-ish	2	57872,252	yes	byte-ish	3	163,117,252	yes	byte-ish	3	163,117,252	yes	byte-ish	3	128000,103721,252	yes	byte-ish	2	50512,257	yes	byte-ish
32351	U+7E5F	繟	3	2	57872,253	yes	byte-ish	2	57872,253	yes	byte-ish	3	163,117,253	yes	byte-ish	3	163,117,253	yes	byte-ish	3	128000,103721,253	yes	byte-ish	2	50512,258	yes	byte-ish
32352	U+7E60	繠	3	2	57872,254	yes	byte-ish	2	57872,254	yes	byte-ish	3	163,117,254	yes	byte-ish	3	163,117,254	yes	byte-ish	3	128000,103721,254	yes	byte-ish	2	50512,259	yes	byte-ish
32353	U+7E61	繡	3	2	57872,94	yes	byte-ish	2	57872,94	yes	byte-ish	3	163,117,94	yes	byte-ish	3	163,117,94	yes	byte-ish	3	128000,103721,94	yes	byte-ish	2	50512,99	yes	byte-ish
32354	U+7E62	繢	3	2	57872,95	yes	byte-ish	2	57872,95	yes	byte-ish	3	163,117,95	yes	byte-ish	3	163,117,95	yes	byte-ish	3	128000,103721,95	yes	byte-ish	2	50512,100	yes	byte-ish
32355	U+7E63	繣	3	2	57872,96	yes	byte-ish	2	57872,96	yes	byte-ish	3	163,117,96	yes	byte-ish	3	163,117,96	yes	byte-ish	3	128000,103721,96	yes	byte-ish	2	50512,101	yes	byte-ish
32356	U+7E64	繤	3	2	57872,97	yes	byte-ish	2	57872,97	yes	byte-ish	3	163,117,97	yes	byte-ish	3	163,117,97	yes	byte-ish	3	128000,103721,97	yes	byte-ish	2	50512,102	yes	byte-ish
32357	U+7E65	繥	3	2	57872,98	yes	byte-ish	2	57872,98	yes	byte-ish	3	163,117,98	yes	byte-ish	3	163,117,98	yes	byte-ish	3	128000,103721,98	yes	byte-ish	2	50512,103	yes	byte-ish
32358	U+7E66	繦	3	2	57872,99	yes	byte-ish	2	57872,99	yes	byte-ish	3	163,117,99	yes	byte-ish	3	163,117,99	yes	byte-ish	3	128000,103721,99	yes	byte-ish	2	50512,104	yes	byte-ish
32359	U+7E67	繧	3	2	57872,100	yes	byte-ish	2	57872,100	yes	byte-ish	3	163,117,100	yes	byte-ish	3	163,117,100	yes	byte-ish	3	128000,103721,100	yes	byte-ish	2	50512,105	yes	byte-ish
32360	U+7E68	繨	3	2	57872,101	yes	byte-ish	2	57872,101	yes	byte-ish	3	163,117,101	yes	byte-ish	3	163,117,101	yes	byte-ish	3	128000,103721,101	yes	byte-ish	2	50512,106	yes	byte-ish
32361	U+7E69	繩	3	2	57872,102	yes	byte-ish	2	57872,102	yes	byte-ish	3	163,117,102	yes	byte-ish	3	163,117,102	yes	byte-ish	3	128000,103721,102	yes	byte-ish	2	50512,107	yes	byte-ish
32362	U+7E6A	繪	3	2	57872,103	yes	byte-ish	2	57872,103	yes	byte-ish	3	163,117,103	yes	byte-ish	3	163,117,103	yes	byte-ish	3	128000,103721,103	yes	byte-ish	2	50512,108	yes	byte-ish
32363	U+7E6B	繫	3	2	57872,104	yes	byte-ish	2	57872,104	yes	byte-ish	3	163,117,104	yes	byte-ish	3	163,117,104	yes	byte-ish	3	128000,103721,104	yes	byte-ish	2	50512,109	yes	byte-ish
32364	U+7E6C	繬	3	2	57872,105	yes	byte-ish	2	57872,105	yes	byte-ish	3	163,117,105	yes	byte-ish	3	163,117,105	yes	byte-ish	3	128000,103721,105	yes	byte-ish	2	50512,110	yes	byte-ish
32365	U+7E6D	繭	3	2	57872,255	yes	byte-ish	2	57872,255	yes	byte-ish	3	163,117,255	yes	byte-ish	3	163,117,255	yes	byte-ish	3	128000,103721,255	yes	byte-ish	2	50512,260	yes	byte-ish
32366	U+7E6E	繮	3	2	57872,106	yes	byte-ish	2	57872,106	yes	byte-ish	3	163,117,106	yes	byte-ish	3	163,117,106	yes	byte-ish	3	128000,103721,106	yes	byte-ish	2	50512,111	yes	byte-ish
32367	U+7E6F	繯	3	2	57872,107	yes	byte-ish	2	57872,107	yes	byte-ish	3	163,117,107	yes	byte-ish	3	163,117,107	yes	byte-ish	3	128000,103721,107	yes	byte-ish	2	50512,112	yes	byte-ish
32368	U+7E70	繰	3	2	57872,108	yes	byte-ish	2	57872,108	yes	byte-ish	3	163,117,108	yes	byte-ish	3	163,117,108	yes	byte-ish	3	128000,103721,108	yes	byte-ish	2	50512,113	yes	byte-ish
32369	U+7E71	繱	3	2	57872,109	yes	byte-ish	2	57872,109	yes	byte-ish	3	163,117,109	yes	byte-ish	3	163,117,109	yes	byte-ish	3	128000,103721,109	yes	byte-ish	2	50512,114	yes	byte-ish
32370	U+7E72	繲	3	2	57872,110	yes	byte-ish	2	57872,110	yes	byte-ish	3	163,117,110	yes	byte-ish	3	163,117,110	yes	byte-ish	3	128000,103721,110	yes	byte-ish	2	50512,115	yes	byte-ish
32371	U+7E73	繳	3	2	57872,111	yes	byte-ish	2	57872,111	yes	byte-ish	3	163,117,111	yes	byte-ish	3	163,117,111	yes	byte-ish	3	128000,103721,111	yes	byte-ish	2	50512,116	yes	byte-ish
32372	U+7E74	繴	3	2	57872,112	yes	byte-ish	2	57872,112	yes	byte-ish	3	163,117,112	yes	byte-ish	3	163,117,112	yes	byte-ish	3	128000,103721,112	yes	byte-ish	2	50512,117	yes	byte-ish
32373	U+7E75	繵	3	2	57872,113	yes	byte-ish	2	57872,113	yes	byte-ish	3	163,117,113	yes	byte-ish	3	163,117,113	yes	byte-ish	3	128000,103721,113	yes	byte-ish	2	50512,118	yes	byte-ish
32374	U+7E76	繶	3	2	57872,114	yes	byte-ish	2	57872,114	yes	byte-ish	3	163,117,114	yes	byte-ish	3	163,117,114	yes	byte-ish	3	128000,103721,114	yes	byte-ish	2	50512,119	yes	byte-ish
32375	U+7E77	繷	3	2	57872,115	yes	byte-ish	2	57872,115	yes	byte-ish	3	163,117,115	yes	byte-ish	3	163,117,115	yes	byte-ish	3	128000,103721,115	yes	byte-ish	2	50512,120	yes	byte-ish
32376	U+7E78	繸	3	2	57872,116	yes	byte-ish	2	57872,116	yes	byte-ish	3	163,117,116	yes	byte-ish	3	163,117,116	yes	byte-ish	3	128000,103721,116	yes	byte-ish	2	50512,121	yes	byte-ish
32377	U+7E79	繹	3	2	57872,117	yes	byte-ish	2	57872,117	yes	byte-ish	3	163,117,117	yes	byte-ish	3	163,117,117	yes	byte-ish	3	128000,103721,117	yes	byte-ish	2	50512,122	yes	byte-ish
32378	U+7E7A	繺	3	2	57872,118	yes	byte-ish	2	57872,118	yes	byte-ish	3	163,117,118	yes	byte-ish	3	163,117,118	yes	byte-ish	3	128000,103721,118	yes	byte-ish	2	50512,123	yes	byte-ish
32379	U+7E7B	繻	3	2	57872,119	yes	byte-ish	2	57872,119	yes	byte-ish	3	163,117,119	yes	byte-ish	3	163,117,119	yes	byte-ish	3	128000,103721,119	yes	byte-ish	2	50512,124	yes	byte-ish
32380	U+7E7C	繼	3	2	57872,120	yes	byte-ish	2	57872,120	yes	byte-ish	3	163,117,120	yes	byte-ish	3	163,117,120	yes	byte-ish	3	128000,103721,120	yes	byte-ish	2	50512,125	yes	byte-ish
32381	U+7E7D	繽	3	2	57872,121	yes	byte-ish	2	57872,121	yes	byte-ish	3	163,117,121	yes	byte-ish	3	163,117,121	yes	byte-ish	3	128000,103721,121	yes	byte-ish	2	50512,126	yes	byte-ish
32382	U+7E7E	繾	3	2	57872,122	yes	byte-ish	2	57872,122	yes	byte-ish	3	163,117,122	yes	byte-ish	3	163,117,122	yes	byte-ish	3	128000,103721,122	yes	byte-ish	2	50512,127	yes	byte-ish
32383	U+7E7F	繿	3	2	57872,123	yes	byte-ish	2	57872,123	yes	byte-ish	3	163,117,123	yes	byte-ish	3	163,117,123	yes	byte-ish	3	128000,103721,123	yes	byte-ish	2	50512,128	yes	byte-ish
32384	U+7E80	纀	3	2	2070,222	yes	byte-ish	2	2070,222	yes	byte-ish	2	23043,222	yes	byte-ish	3	163,118,222	yes	byte-ish	3	128000,23043,222	yes	byte-ish	2	7346,227	yes	byte-ish
32385	U+7E81	纁	3	2	2070,223	yes	byte-ish	2	2070,223	yes	byte-ish	2	23043,223	yes	byte-ish	3	163,118,223	yes	byte-ish	3	128000,23043,223	yes	byte-ish	2	7346,228	yes	byte-ish
32386	U+7E82	纂	3	2	2070,224	yes	byte-ish	2	2070,224	yes	byte-ish	2	23043,224	yes	byte-ish	3	163,118,224	yes	byte-ish	3	128000,23043,224	yes	byte-ish	2	7346,229	yes	byte-ish
32387	U+7E83	纃	3	2	2070,225	yes	byte-ish	2	2070,225	yes	byte-ish	2	23043,225	yes	byte-ish	3	163,118,225	yes	byte-ish	3	128000,23043,225	yes	byte-ish	2	7346,230	yes	byte-ish
32388	U+7E84	纄	3	2	2070,226	yes	byte-ish	2	2070,226	yes	byte-ish	2	23043,226	yes	byte-ish	3	163,118,226	yes	byte-ish	3	128000,23043,226	yes	byte-ish	2	7346,231	yes	byte-ish
32389	U+7E85	纅	3	2	2070,227	yes	byte-ish	2	2070,227	yes	byte-ish	2	23043,227	yes	byte-ish	3	163,118,227	yes	byte-ish	3	128000,23043,227	yes	byte-ish	2	7346,232	yes	byte-ish
32390	U+7E86	纆	3	2	2070,228	yes	byte-ish	2	2070,228	yes	byte-ish	2	23043,228	yes	byte-ish	3	163,118,228	yes	byte-ish	3	128000,23043,228	yes	byte-ish	2	7346,233	yes	byte-ish
32391	U+7E87	纇	3	2	2070,229	yes	byte-ish	2	2070,229	yes	byte-ish	2	23043,229	yes	byte-ish	3	163,118,229	yes	byte-ish	3	128000,23043,229	yes	byte-ish	2	7346,234	yes	byte-ish
32392	U+7E88	纈	3	2	2070,230	yes	byte-ish	2	2070,230	yes	byte-ish	2	23043,230	yes	byte-ish	3	163,118,230	yes	byte-ish	3	128000,23043,230	yes	byte-ish	2	7346,235	yes	byte-ish
32393	U+7E89	纉	3	2	2070,231	yes	byte-ish	2	2070,231	yes	byte-ish	2	23043,231	yes	byte-ish	3	163,118,231	yes	byte-ish	3	128000,23043,231	yes	byte-ish	2	7346,236	yes	byte-ish
32394	U+7E8A	纊	3	2	2070,232	yes	byte-ish	2	2070,232	yes	byte-ish	2	23043,232	yes	byte-ish	3	163,118,232	yes	byte-ish	3	128000,23043,232	yes	byte-ish	2	7346,237	yes	byte-ish
32395	U+7E8B	纋	3	2	2070,233	yes	byte-ish	2	2070,233	yes	byte-ish	2	23043,233	yes	byte-ish	3	163,118,233	yes	byte-ish	3	128000,23043,233	yes	byte-ish	2	7346,238	yes	byte-ish
32396	U+7E8C	續	3	1	199091	yes	single-token	1	199091	yes	single-token	2	23043,234	yes	byte-ish	3	163,118,234	yes	byte-ish	2	128000,115344	yes	byte-ish	2	7346,239	yes	byte-ish
32397	U+7E8D	纍	3	2	2070,235	yes	byte-ish	2	2070,235	yes	byte-ish	2	23043,235	yes	byte-ish	3	163,118,235	yes	byte-ish	3	128000,23043,235	yes	byte-ish	2	7346,240	yes	byte-ish
32398	U+7E8E	纎	3	2	2070,236	yes	byte-ish	2	2070,236	yes	byte-ish	2	23043,236	yes	byte-ish	3	163,118,236	yes	byte-ish	3	128000,23043,236	yes	byte-ish	2	7346,241	yes	byte-ish
32399	U+7E8F	纏	3	2	2070,237	yes	byte-ish	2	2070,237	yes	byte-ish	2	23043,237	yes	byte-ish	3	163,118,237	yes	byte-ish	3	128000,23043,237	yes	byte-ish	2	7346,242	yes	byte-ish
32400	U+7E90	纐	3	2	2070,238	yes	byte-ish	2	2070,238	yes	byte-ish	2	23043,238	yes	byte-ish	3	163,118,238	yes	byte-ish	3	128000,23043,238	yes	byte-ish	2	7346,243	yes	byte-ish
32401	U+7E91	纑	3	2	2070,239	yes	byte-ish	2	2070,239	yes	byte-ish	2	23043,239	yes	byte-ish	3	163,118,239	yes	byte-ish	3	128000,23043,239	yes	byte-ish	2	7346,244	yes	byte-ish
32402	U+7E92	纒	3	2	2070,240	yes	byte-ish	2	2070,240	yes	byte-ish	2	23043,240	yes	byte-ish	3	163,118,240	yes	byte-ish	3	128000,23043,240	yes	byte-ish	2	7346,245	yes	byte-ish
32403	U+7E93	纓	3	2	2070,241	yes	byte-ish	2	2070,241	yes	byte-ish	2	23043,241	yes	byte-ish	3	163,118,241	yes	byte-ish	3	128000,23043,241	yes	byte-ish	2	7346,246	yes	byte-ish
32404	U+7E94	纔	3	2	2070,242	yes	byte-ish	2	2070,242	yes	byte-ish	2	23043,242	yes	byte-ish	3	163,118,242	yes	byte-ish	3	128000,23043,242	yes	byte-ish	2	7346,247	yes	byte-ish
32405	U+7E95	纕	3	2	2070,243	yes	byte-ish	2	2070,243	yes	byte-ish	2	23043,243	yes	byte-ish	3	163,118,243	yes	byte-ish	3	128000,23043,243	yes	byte-ish	2	7346,248	yes	byte-ish
32406	U+7E96	纖	3	2	2070,244	yes	byte-ish	2	2070,244	yes	byte-ish	2	23043,244	yes	byte-ish	3	163,118,244	yes	byte-ish	3	128000,23043,244	yes	byte-ish	2	7346,249	yes	byte-ish
32407	U+7E97	纗	3	2	2070,245	yes	byte-ish	2	2070,245	yes	byte-ish	2	23043,245	yes	byte-ish	3	163,118,245	yes	byte-ish	3	128000,23043,245	yes	byte-ish	2	7346,250	yes	byte-ish
32408	U+7E98	纘	3	2	2070,246	yes	byte-ish	2	2070,246	yes	byte-ish	2	23043,246	yes	byte-ish	3	163,118,246	yes	byte-ish	3	128000,23043,246	yes	byte-ish	2	7346,251	yes	byte-ish
32409	U+7E99	纙	3	2	2070,247	yes	byte-ish	2	2070,247	yes	byte-ish	2	23043,247	yes	byte-ish	3	163,118,247	yes	byte-ish	3	128000,23043,247	yes	byte-ish	2	7346,252	yes	byte-ish
32410	U+7E9A	纚	3	2	2070,248	yes	byte-ish	2	2070,248	yes	byte-ish	2	23043,248	yes	byte-ish	3	163,118,248	yes	byte-ish	3	128000,23043,248	yes	byte-ish	2	7346,253	yes	byte-ish
32411	U+7E9B	纛	3	2	2070,249	yes	byte-ish	2	2070,249	yes	byte-ish	2	23043,249	yes	byte-ish	3	163,118,249	yes	byte-ish	3	128000,23043,249	yes	byte-ish	2	7346,254	yes	byte-ish
32412	U+7E9C	纜	3	2	2070,250	yes	byte-ish	2	2070,250	yes	byte-ish	2	23043,250	yes	byte-ish	3	163,118,250	yes	byte-ish	3	128000,23043,250	yes	byte-ish	2	7346,255	yes	byte-ish
32413	U+7E9D	纝	3	2	2070,251	yes	byte-ish	2	2070,251	yes	byte-ish	2	23043,251	yes	byte-ish	3	163,118,251	yes	byte-ish	3	128000,23043,251	yes	byte-ish	2	7346,256	yes	byte-ish
32414	U+7E9E	纞	3	2	2070,252	yes	byte-ish	2	2070,252	yes	byte-ish	2	23043,252	yes	byte-ish	3	163,118,252	yes	byte-ish	3	128000,23043,252	yes	byte-ish	2	7346,257	yes	byte-ish
32415	U+7E9F	纟	3	2	2070,253	yes	byte-ish	2	2070,253	yes	byte-ish	2	23043,253	yes	byte-ish	3	163,118,253	yes	byte-ish	3	128000,23043,253	yes	byte-ish	2	7346,258	yes	byte-ish
32416	U+7EA0	纠	3	1	159437	yes	single-token	1	159437	yes	single-token	2	23043,254	yes	byte-ish	3	163,118,254	yes	byte-ish	3	128000,23043,254	yes	byte-ish	2	7346,259	yes	byte-ish
32417	U+7EA1	纡	3	2	2070,94	yes	byte-ish	2	2070,94	yes	byte-ish	2	23043,94	yes	byte-ish	3	163,118,94	yes	byte-ish	3	128000,23043,94	yes	byte-ish	2	7346,99	yes	byte-ish
32418	U+7EA2	红	3	1	16491	yes	single-token	1	16491	yes	single-token	2	23043,95	yes	byte-ish	3	163,118,95	yes	byte-ish	2	128000,105417	yes	byte-ish	1	62346	yes	single-token
32419	U+7EA3	纣	3	2	2070,96	yes	byte-ish	2	2070,96	yes	byte-ish	2	23043,96	yes	byte-ish	3	163,118,96	yes	byte-ish	3	128000,23043,96	yes	byte-ish	2	7346,101	yes	byte-ish
32420	U+7EA4	纤	3	2	2070,97	yes	byte-ish	2	2070,97	yes	byte-ish	2	23043,97	yes	byte-ish	3	163,118,97	yes	byte-ish	3	128000,23043,97	yes	byte-ish	2	7346,102	yes	byte-ish
32421	U+7EA5	纥	3	2	2070,98	yes	byte-ish	2	2070,98	yes	byte-ish	2	23043,98	yes	byte-ish	3	163,118,98	yes	byte-ish	3	128000,23043,98	yes	byte-ish	2	7346,103	yes	byte-ish
32422	U+7EA6	约	3	1	27526	yes	single-token	1	27526	yes	single-token	1	95337	yes	single-token	3	163,118,99	yes	byte-ish	2	128000,95337	yes	byte-ish	1	47749	yes	single-token
32423	U+7EA7	级	3	1	8593	yes	single-token	1	8593	yes	single-token	1	53434	yes	single-token	3	163,118,100	yes	byte-ish	2	128000,53434	yes	byte-ish	1	31679	yes	single-token
32424	U+7EA8	纨	3	2	2070,101	yes	byte-ish	2	2070,101	yes	byte-ish	2	23043,101	yes	byte-ish	3	163,118,101	yes	byte-ish	3	128000,23043,101	yes	byte-ish	2	7346,106	yes	byte-ish
32425	U+7EA9	纩	3	2	2070,102	yes	byte-ish	2	2070,102	yes	byte-ish	2	23043,102	yes	byte-ish	3	163,118,102	yes	byte-ish	3	128000,23043,102	yes	byte-ish	2	7346,107	yes	byte-ish
32426	U+7EAA	纪	3	1	30946	yes	single-token	1	30946	yes	single-token	2	23043,103	yes	byte-ish	3	163,118,103	yes	byte-ish	2	128000,108142	yes	byte-ish	2	7346,108	yes	byte-ish
32427	U+7EAB	纫	3	2	2070,104	yes	byte-ish	2	2070,104	yes	byte-ish	2	23043,104	yes	byte-ish	3	163,118,104	yes	byte-ish	3	128000,23043,104	yes	byte-ish	2	7346,109	yes	byte-ish
32428	U+7EAC	纬	3	1	90209	yes	single-token	1	90209	yes	single-token	2	23043,105	yes	byte-ish	3	163,118,105	yes	byte-ish	3	128000,23043,105	yes	byte-ish	2	7346,110	yes	byte-ish
32429	U+7EAD	纭	3	2	2070,255	yes	byte-ish	2	2070,255	yes	byte-ish	2	23043,255	yes	byte-ish	3	163,118,255	yes	byte-ish	3	128000,23043,255	yes	byte-ish	2	7346,260	yes	byte-ish
32430	U+7EAE	纮	3	2	2070,106	yes	byte-ish	2	2070,106	yes	byte-ish	2	23043,106	yes	byte-ish	3	163,118,106	yes	byte-ish	3	128000,23043,106	yes	byte-ish	2	7346,111	yes	byte-ish
32431	U+7EAF	纯	3	1	77152	yes	single-token	1	77152	yes	single-token	2	23043,107	yes	byte-ish	3	163,118,107	yes	byte-ish	2	128000,118465	yes	byte-ish	2	7346,112	yes	byte-ish
32432	U+7EB0	纰	3	2	2070,108	yes	byte-ish	2	2070,108	yes	byte-ish	2	23043,108	yes	byte-ish	3	163,118,108	yes	byte-ish	3	128000,23043,108	yes	byte-ish	2	7346,113	yes	byte-ish
32433	U+7EB1	纱	3	2	2070,109	yes	byte-ish	2	2070,109	yes	byte-ish	2	23043,109	yes	byte-ish	3	163,118,109	yes	byte-ish	3	128000,23043,109	yes	byte-ish	2	7346,114	yes	byte-ish
32434	U+7EB2	纲	3	1	183374	yes	single-token	1	183374	yes	single-token	2	23043,110	yes	byte-ish	3	163,118,110	yes	byte-ish	3	128000,23043,110	yes	byte-ish	2	7346,115	yes	byte-ish
32435	U+7EB3	纳	3	1	49318	yes	single-token	1	49318	yes	single-token	2	23043,111	yes	byte-ish	3	163,118,111	yes	byte-ish	2	128000,106625	yes	byte-ish	2	7346,116	yes	byte-ish
32436	U+7EB4	纴	3	2	2070,112	yes	byte-ish	2	2070,112	yes	byte-ish	2	23043,112	yes	byte-ish	3	163,118,112	yes	byte-ish	3	128000,23043,112	yes	byte-ish	2	7346,117	yes	byte-ish
32437	U+7EB5	纵	3	1	151030	yes	single-token	1	151030	yes	single-token	2	23043,113	yes	byte-ish	3	163,118,113	yes	byte-ish	3	128000,23043,113	yes	byte-ish	2	7346,118	yes	byte-ish
32438	U+7EB6	纶	3	2	2070,114	yes	byte-ish	2	2070,114	yes	byte-ish	2	23043,114	yes	byte-ish	3	163,118,114	yes	byte-ish	3	128000,23043,114	yes	byte-ish	2	7346,119	yes	byte-ish
32439	U+7EB7	纷	3	1	101314	yes	single-token	1	101314	yes	single-token	2	23043,115	yes	byte-ish	3	163,118,115	yes	byte-ish	3	128000,23043,115	yes	byte-ish	2	7346,120	yes	byte-ish
32440	U+7EB8	纸	3	1	66574	yes	single-token	1	66574	yes	single-token	2	23043,116	yes	byte-ish	3	163,118,116	yes	byte-ish	2	128000,113292	yes	byte-ish	2	7346,121	yes	byte-ish
32441	U+7EB9	纹	3	1	196681	yes	single-token	1	196681	yes	single-token	2	23043,117	yes	byte-ish	3	163,118,117	yes	byte-ish	3	128000,23043,117	yes	byte-ish	2	7346,122	yes	byte-ish
